"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",2777,"Likely Voters","Internet",40,43,10,4,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",343,"Likely Voters","Internet",44,50,NA,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",696,"Likely Voters","Internet",42,48,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","PPP (D)","2016-11-03","2016-11-04","2016-11-04T19:56:18Z",704,"Likely Voters","IVR/Online",43,48,4,3,3,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-26721","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, Green Party candidate Jill Stein, and independent Evan McMullin. If the election was today, who would you vote for?",1
"5","PPP (D)","2016-11-03","2016-11-04","2016-11-04T19:56:18Z",704,"Likely Voters","IVR/Online",45,50,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-26721","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf","Pollster","Dem","If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?",2
"6","Keating (D-OnSight Public Affairs)","2016-11-02","2016-11-03","2016-11-04T20:46:00Z",605,"Likely Voters","Live Phone",38,43,7,7,6,"http://elections.huffingtonpost.com/pollster/polls/keating-d-onsight-public-affairs-26725","http://keatingresearch.com/wp-content/uploads/2016/11/2016Nov4Poll.pdf","Sponsor","Dem","",1
"7","Remington Research Group (R)/Axiom Strategies","2016-11-01","2016-11-02","2016-11-07T02:32:56Z",1863,"Likely Voters","IVR/Live Phone",41,42,6,5,6,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26760","http://big.assets.huffingtonpost.com/ABC_CO_STATEWIDE110416.pdf","Sponsor","Rep","",1
"8","Gravis Marketing/Breitbart","2016-11-01","2016-11-02","2016-11-05T16:42:06Z",1125,"Registered Voters","IVR/Online",40,40,7,10,3,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-breitbart-26737","https://www.scribd.com/document/330037738/Colorado-November-3-2016-v2#from_embed","Nonpartisan","None","If the election was held today, who would be your choice for president?",1
"9","Magellan (R)","2016-11-01","2016-11-02","2016-11-03T20:15:06Z",500,"Likely Voters","Live Phone",38,44,7,4,7,"http://elections.huffingtonpost.com/pollster/polls/magellan-r-26678","http://magellanstrategies.com/wp-content/uploads/2016/11/Magellan-Strategies-Colorado-US-President-Survey-Summary-110316.pdf","Pollster","Rep","If the election for President were being held today, would you vote for Hillary Clinton the Democratic candidate, Donald Trump the Republican candidate, Gary Johnson the Libertarian candidate, or Jill Stein, the Green Party candidate?",1
"10","Lucid/The Times-Picayune","2016-10-28","2016-11-01","2016-11-02T21:35:26Z",972,"Likely Voters","Internet",37,44,9,3,8,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26644","https://luc.id/wp-content/uploads/2016/11/Colorado-Battleground-Results.pdf","Nonpartisan","None","",1
"11","University of Denver/Ciruli","2016-10-29","2016-10-31","2016-11-03T19:25:01Z",550,"Likely Voters","Live Phone",41,42,NA,10,7,"http://elections.huffingtonpost.com/pollster/polls/university-of-denver-ciruli-26677","http://www.documentcloud.org/documents/3213243-225-Crossley-Survey-Results-Media.html","Nonpartisan","None","",1
"12","University of Denver/Ciruli","2016-10-29","2016-10-31","2016-11-03T19:25:01Z",550,"Likely Voters","Live Phone",39,39,5,9,9,"http://elections.huffingtonpost.com/pollster/polls/university-of-denver-ciruli-26677","http://www.documentcloud.org/documents/3213243-225-Crossley-Survey-Results-Media.html","Nonpartisan","None","",2
"13","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",1532,"Likely Voters","Internet",39,43,11,4,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"14","Remington Research Group (R)/Axiom Strategies","2016-10-30","2016-10-30","2016-10-31T14:18:53Z",952,"Likely Voters","IVR/Live Phone",44,45,4,3,4,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26567","http://axiomstrategies.com/abc/","Sponsor","Rep","",1
"15","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",342,"Likely Voters","Internet",46,50,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"16","CBS/YouGov","2016-10-26","2016-10-28","2016-10-30T13:52:29Z",997,"Likely Voters","Internet",39,42,7,6,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26546","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/f4ybwd5qg4/CO_Final_20161030.pdf","Nonpartisan","None","",1
"17","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",1595,"Likely Voters","Internet",38,44,12,3,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"18","U Colorado Boulder","2016-10-17","2016-10-24","2016-11-03T17:30:25Z",1004,"Adults","Internet",34,44,9,13,NA,"http://elections.huffingtonpost.com/pollster/polls/u-colorado-boulder-26672","http://big.assets.huffingtonpost.com/20161102.CO.1.pdf","Nonpartisan","None","",1
"19","Remington Research Group (R)/Axiom Strategies","2016-10-20","2016-10-22","2016-10-25T13:33:40Z",1581,"Likely Voters","IVR/Live Phone",43,45,5,2,4,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26419","http://big.assets.huffingtonpost.com/COSTATEWIDE.pdf","Sponsor","Rep","",1
"20","Quinnipiac","2016-10-10","2016-10-16","2016-10-17T19:02:50Z",685,"Likely Voters","Live Phone",37,45,10,4,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26214","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2388","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
"21","Quinnipiac","2016-10-10","2016-10-16","2016-10-17T19:02:50Z",685,"Likely Voters","Live Phone",40,51,NA,2,8,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26214","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2388","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2
"22","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:31:45Z",336,"Likely Voters","Internet",45,50,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26293","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"23","WashPost/SurveyMonkey","2016-10-08","2016-10-16","2016-10-18T16:50:39Z",956,"Likely Voters","Internet",41,50,NA,NA,8,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-26239","http://apps.washingtonpost.com/g/page/politics/surveymonkey-15-state-poll/2103/","Nonpartisan","None","",1
"24","WashPost/SurveyMonkey","2016-10-08","2016-10-16","2016-10-18T16:50:39Z",956,"Likely Voters","Internet",37,44,12,4,3,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-26239","http://apps.washingtonpost.com/g/page/politics/surveymonkey-15-state-poll/2103/","Nonpartisan","None","",2
"25","Magellan (R)","2016-10-12","2016-10-13","2016-10-18T19:16:14Z",500,"Likely Voters","Live Phone",35,40,12,7,6,"http://elections.huffingtonpost.com/pollster/polls/magellan-r-26256","http://magellanstrategies.com/wp-content/uploads/2016/10/Magellan-Strategies-Colorado-Presidential-and-US-Senate-Survey-Summary-101816.pdf","Pollster","Rep","If the election for President were being held today, would you vote for Hillary Clinton the Democratic candidate, Donald Trump the Republican candidate, Gary Johnson the Libertarian candidate, or Jill Stein, the Green Party candidate?",1
"26","Gravis Marketing/Breitbart","2016-10-12","2016-10-13","2016-10-16T13:22:11Z",1226,"Registered Voters","IVR/Online",39,44,6,2,9,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-breitbart-26186","http://www.breitbart.com/2016-presidential-race/2016/10/15/exclusive-breitbartgravis-poll-clinton-opens-lead-over-trump-44-39-in-colorado-gains-5-points-in-a-week/","Nonpartisan","None","If the election was held today, who would be your choice for president?",1
"27","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",695,"Likely Voters","Internet",41,47,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"28","Gravis Marketing/Breitbart","2016-10-03","2016-10-04","2016-10-09T00:49:16Z",1246,"Registered Voters","IVR/Online",40,40,10,3,6,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-breitbart-26008","http://www.breitbart.com/2016-presidential-race/2016/10/08/exclusive-breitbartgravis-colorado-poll-donald-trump-hillary-clinton-tied-key-western-battleground-state/","Nonpartisan","None","If the election was held today, who would be your choice for president?",1
"29","Monmouth University","2016-09-29","2016-10-02","2016-10-03T17:01:43Z",400,"Likely Voters","Live Phone",38,49,7,4,3,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25839","http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_CO_100316/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1
"30","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T12:46:52Z",553,"Likely Voters","Internet",47,48,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25903","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"31","Keating (D)","2016-09-27","2016-09-29","2016-10-03T21:43:31Z",602,"Likely Voters","Live Phone",33,44,10,7,6,"http://elections.huffingtonpost.com/pollster/polls/keating-d-25892","http://big.assets.huffingtonpost.com/Keating-Colorado-2016-09-29.pdf","Pollster","Dem","",1
"32","PPP (D-Vote Vets Action Fund)","2016-09-27","2016-09-28","2016-09-29T12:17:00Z",694,"Likely Voters","IVR/Online",40,46,6,2,6,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-vote-vets-action-fund-25795","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_BattlegroundStates_92916.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?",1
"33","PPP (D-Vote Vets Action Fund)","2016-09-27","2016-09-28","2016-09-29T12:17:00Z",694,"Likely Voters","IVR/Online",44,51,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-vote-vets-action-fund-25795","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_BattlegroundStates_92916.pdf","Pollster","Dem","If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?",2
"34","CNN","2016-09-20","2016-09-25","2016-09-26T11:46:26Z",784,"Likely Voters","Live Phone",42,41,13,3,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-25651","http://www.cnn.com/2016/09/26/politics/donald-trump-hillary-clinton-colorado-pennsylvania-polls/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and Mike Pence as the Republican Party’s candidates, Gary Johnson and Bill Weld as the Libertarian Party’s candidates, and Jill Stein and Ajamu Baraka as the Green Party’s candidates. Who would you be more likely to vote for?",1
"35","CNN","2016-09-20","2016-09-25","2016-09-26T11:46:26Z",784,"Likely Voters","Live Phone",47,49,NA,3,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-25651","http://www.cnn.com/2016/09/26/politics/donald-trump-hillary-clinton-colorado-pennsylvania-polls/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate and Donald Trump and as the Republican Party’s candidate, who would you be more likely to vote for?",2
"36","CBS/YouGov","2016-09-21","2016-09-23","2016-09-25T14:41:13Z",991,"Likely Voters","Internet",39,40,NA,11,10,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25645","https://today.yougov.com/news/2016/09/25/race-tightens-va-trump-down-1-co-9-mo/","Nonpartisan","None","",1
"37","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:39:46Z",534,"Likely Voters","Internet",44,42,NA,NA,14,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25683","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"38","Quinnipiac","2016-09-13","2016-09-21","2016-09-22T19:12:06Z",644,"Likely Voters","Live Phone",42,44,10,2,2,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25622","http://big.assets.huffingtonpost.com/quipac.pdf","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1
"39","Quinnipiac","2016-09-13","2016-09-21","2016-09-22T19:12:06Z",644,"Likely Voters","Live Phone",47,47,NA,2,4,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25622","http://big.assets.huffingtonpost.com/quipac.pdf","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2
"40","Franklin and Marshall College/Colorado Mesa University","2016-09-14","2016-09-18","2016-09-22T15:13:56Z",350,"Likely Voters","Live Phone/Online",35,44,NA,14,7,"http://elections.huffingtonpost.com/pollster/polls/franklin-and-marshall-college-colorado-mesa-university-25616","http://www.coloradomesa.edu/social-research-center/cmu-rmpbs-poll-results.html","Nonpartisan","None","If the November general election for president was being held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, would you vote for Donald Trump, Hillary Clinton, some other candidate, or aren't you sure how you would vote?",1
"41","Franklin and Marshall College/Colorado Mesa University","2016-09-14","2016-09-18","2016-09-22T15:13:56Z",350,"Likely Voters","Live Phone/Online",34,41,12,3,10,"http://elections.huffingtonpost.com/pollster/polls/franklin-and-marshall-college-colorado-mesa-university-25616","http://www.coloradomesa.edu/social-research-center/cmu-rmpbs-poll-results.html","Nonpartisan","None","If the November general election for president was being held today and the candidates were Donald Trump, the Republican, Hillary Clinton, the Democrat, Jill Stein, the Green candidate, and Gary Johnson, the Libertarian candidate, would you vote for …or aren't you sure how you would vote?",2
"42","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T12:01:10Z",2428,"Registered Voters","Internet",44,46,NA,NA,10,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25349","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"43","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T12:01:10Z",2428,"Registered Voters","Internet",37,37,16,6,4,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25349","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"44","Magellan (R)","2016-08-29","2016-08-31","2016-09-08T12:41:45Z",500,"Likely Voters","Live Phone",36,41,13,4,6,"http://elections.huffingtonpost.com/pollster/polls/magellan-r-25419","http://magellanstrategies.com/wp-content/uploads/2016/09/Magellan-Strategies-Colorado-Presidential-Survey-Summary-090916.pdf","Pollster","Rep","If the election for President were being held today, would you vote for Hillary Clinton the Democratic candidate, Donald Trump the Republican candidate, Gary Johnson the Libertarian candidate, or Jill Stein, the Green Party candidate?",1
"45","Quinnipiac","2016-08-09","2016-08-16","2016-08-17T17:44:04Z",830,"Likely Voters","Live Phone",39,49,NA,4,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25199","http://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2373","Nonpartisan","None","If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?",1
"46","Quinnipiac","2016-08-09","2016-08-16","2016-08-17T17:44:04Z",830,"Likely Voters","Live Phone",33,41,16,7,3,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25199","http://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2373","Nonpartisan","None","If the election for President were being held today, and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein the Green party candidate, for whom would you vote?",2
"47","NBC/WSJ/Marist","2016-08-04","2016-08-10","2016-08-12T15:40:37Z",899,"Registered Voters","Live Phone",32,46,NA,15,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25150","http://www.nbcnews.com/politics/2016-election/polls-clinton-running-table-key-battlegrounds-n629136","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",1
"48","NBC/WSJ/Marist","2016-08-04","2016-08-10","2016-08-12T15:40:37Z",899,"Registered Voters","Live Phone",29,41,15,7,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-25150","http://www.nbcnews.com/politics/2016-election/polls-clinton-running-table-key-battlegrounds-n629136","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",2
"49","FOX","2016-07-09","2016-07-12","2016-07-13T22:12:49Z",600,"Registered Voters","Live Phone",34,44,NA,11,11,"http://elections.huffingtonpost.com/pollster/polls/fox-24882","http://www.foxnews.com/politics/interactive/2016/07/13/fox-news-poll-71316-trump-trails-clinton-in-colorado/","Nonpartisan","None","If the 2016 presidential election were held today…How would you vote if the candidates were:",1
"50","FOX","2016-07-09","2016-07-12","2016-07-13T22:12:49Z",600,"Registered Voters","Live Phone",28,37,13,10,13,"http://elections.huffingtonpost.com/pollster/polls/fox-24882","http://www.foxnews.com/politics/interactive/2016/07/13/fox-news-poll-71316-trump-trails-clinton-in-colorado/","Nonpartisan","None","How would you vote if the candidates were:",2
"51","Monmouth University","2016-07-09","2016-07-12","2016-07-13T16:42:17Z",404,"Likely Voters","Live Phone",35,48,5,6,7,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24875","http://monmouth.edu/polling-institute/reports/MonmouthPoll_CO_071316/","Nonpartisan","None","",1
"52","NBC/WSJ/Marist","2016-07-05","2016-07-11","2016-07-15T11:19:12Z",794,"Registered Voters","Live Phone",35,43,NA,21,NA,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24895","http://www.nbcnews.com/politics/2016-election/clinton-leads-trump-diverse-battleground-states-new-polls-n609551","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",1
"53","NBC/WSJ/Marist","2016-07-05","2016-07-11","2016-07-15T11:19:12Z",794,"Registered Voters","Live Phone",33,39,13,7,9,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-24895","http://www.nbcnews.com/politics/2016-election/clinton-leads-trump-diverse-battleground-states-new-polls-n609551","Nonpartisan","None","If November's presidential election were held today, whom would you support if the candidates are:",2
"54","Harper (R)","2016-07-07","2016-07-09","2016-07-12T20:06:43Z",500,"Likely Voters","IVR/Live Phone",38,45,NA,14,4,"http://elections.huffingtonpost.com/pollster/polls/harper-r-24868","http://harperpolling.com/polls/colorado-general-election-poll#PresidentialBallot","Pollster","Rep","",1
"55","Gravis Marketing","2016-07-07","2016-07-08","2016-07-14T18:40:28Z",1313,"Registered Voters","Automated Phone",41,43,NA,16,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-24887","http://big.assets.huffingtonpost.com/COGravispoll.pdf","Nonpartisan","None","If you had to vote today in a matchup between Hillary Clinton and Donald Trump, who would you vote for?",1
"56","Gravis Marketing","2016-07-07","2016-07-08","2016-07-14T18:40:28Z",1313,"Registered Voters","Automated Phone",38,39,9,14,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-24887","http://big.assets.huffingtonpost.com/COGravispoll.pdf","Nonpartisan","None","If you had to vote today in a matchup between Hillary Clinton, Donald Trump, Gary Johnson and Jill Stein, who would you vote for?",2
"57","CBS/YouGov","2016-06-21","2016-06-24","2016-06-26T20:40:41Z",996,"Likely Voters","Internet",39,40,NA,9,10,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-24767","https://www.scribd.com/doc/316764904/CBS-News-2016-Battleground-Tracker-Colorado-June-2016","Nonpartisan","None","",1
"58","Quinnipiac","2015-11-11","2015-11-15","2015-11-18T14:58:55Z",1262,"Registered Voters","Live Phone",48,37,NA,4,11,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23168","http://www.quinnipiac.edu/images/polling/co/co11182015_c23tbvm.pdf","Nonpartisan","None","",1
