"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","McMullin","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"1","SurveyMonkey","2016-11-01","2016-11-07","2016-11-08T05:16:34Z",1479,"Likely Voters","Internet",34,31,25,7,2,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26807","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"2","UPI/CVOTER","2016-10-30","2016-11-06","2016-11-07T18:01:34Z",320,"Likely Voters","Internet",43,28,NA,NA,29,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26793","https://www.documentcloud.org/documents/3215082-UPI-CVoter-2016-StatePoll-November-6-1.html","Nonpartisan","None","",1
"3","Ipsos/Reuters","2016-10-17","2016-11-06","2016-11-07T22:56:55Z",532,"Likely Voters","Internet",40,33,NA,NA,NA,27,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26806","http://big.assets.huffingtonpost.com/Reuters.11.07.16.pdf","Nonpartisan","None","",1
"4","CBS/YouGov","2016-11-03","2016-11-05","2016-11-07T20:36:20Z",762,"Likely Voters","Internet",40,23,24,7,3,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26803","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jmei6e535m/FinalYouGov2016.pdf","Nonpartisan","None","",1
"5","Y2 Analytics (R)","2016-11-01","2016-11-03","2016-11-04T19:05:40Z",500,"Likely Voters","Live Phone",33,24,28,5,4,7,"http://elections.huffingtonpost.com/pollster/polls/y2-analytics-r-26718","http://big.assets.huffingtonpost.com/UTY2161103.pdf","Pollster","Rep","If the November election for the President of the United States were being held today, and the candidates were Donald Trump, the Republican candidate; Hillary Clinton, the Democrat candidate; Gary Johnson, the Libertarian candidate; Jill Stein, the Green Party candidate; and Evan McMullin, the Independent candidate; if you had to choose, who would you vote for?",1
"6","Monmouth University","2016-10-30","2016-11-02","2016-11-03T17:03:13Z",402,"Likely Voters","Live Phone",37,31,24,4,2,2,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26671","https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_UT_110316/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, Jill Stein of the Green Party, or independent candidate Evan McMullin?",1
"7","Rasmussen/Heat Street","2016-10-29","2016-10-31","2016-11-03T22:12:56Z",750,"Likely Voters","IVR/Online",42,31,21,3,2,2,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-heat-street-26681","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/utah/election_2016_utah_president","Nonpartisan","None","",1
"8","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",1078,"Likely Voters","Internet",33,30,26,7,2,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"9","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",315,"Likely Voters","Internet",66,29,NA,NA,6,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1
"10","Dan Jones/Salt Lake Tribune/Hinckley Institute","2016-10-20","2016-10-27","2016-10-30T18:08:47Z",823,"Likely Voters","Live Phone/Online",32,24,30,4,1,8,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-salt-lake-tribune-hinckley-institute-26554","https://www.scribd.com/document/329381966/Tribune-Presidential-Poll","Nonpartisan","None","If the November general election for  president of the United States were today, whom would you vote for?",1
"11","Rasmussen/Heat Street","2016-10-23","2016-10-24","2016-10-26T16:53:11Z",750,"Likely Voters","IVR/Online",32,28,29,4,2,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-heat-street-26446","http://www.rasmussenreports.com/public_content/politics/elections/election_2016/utah/election_2016_utah_president","Nonpartisan","None","",1
"12","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",969,"Likely Voters","Internet",33,28,29,7,1,1,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1
"13","Rasmussen/Heat Street","2016-10-14","2016-10-16","2016-10-17T17:11:13Z",750,"Likely Voters","IVR/Online",30,28,29,5,3,4,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-heat-street-26207","http://heatst.com/politics/exclusive-evan-mcmullin-utah-poll-independent-conservative-ties-trump/?mod=sm_tw_post","Nonpartisan","None","",1
"14","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T16:47:12Z",318,"Likely Voters","Internet",65,29,NA,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26332","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"15","CBS/YouGov","2016-10-12","2016-10-14","2016-10-16T13:27:13Z",951,"Likely Voters","Internet",37,20,20,7,5,11,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26187","https://www.scribd.com/document/327758570/CBS-News-Battleground-Tracker-Utah-Oct-16#from_embed","Nonpartisan","None","If the 2016 presidential election were being held today and the candidates were Hillary Clinton, the Democrat, and Donald Trump, the Republican, who would you vote for? (Voters selecting someone else in the initial question were given a choice of a selection of third party candidates)",1
"16","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",543,"Likely Voters","Internet",41,35,NA,NA,NA,24,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1
"17","Monmouth University","2016-10-10","2016-10-12","2016-10-13T17:03:51Z",403,"Likely Voters","Live Phone",34,28,20,9,2,6,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-26160","http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_UT_101316/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, Jill Stein of the Green Party, or independent candidate Evan McMullin?",1
"18","Y2 Analytics (R)","2016-10-10","2016-10-11","2016-10-12T13:39:46Z",500,"Likely Voters","Live Phone",26,26,22,14,4,7,"http://elections.huffingtonpost.com/pollster/polls/y2-analytics-r-26142","http://big.assets.huffingtonpost.com/UTY2.pdf","Pollster","Rep","If the November election for the President of the United States were being held today, and the candidates were Donald Trump, the Republican candidate; Hillary Clinton, the Democrat candidate; Gary Johnson, the Libertarian candidate; Jill Stein, the Green Party candidate; and Evan McMullin, the Independent candidate; if you had to choose, who would you vote for?",1
"19","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:41:38Z",495,"Likely Voters","Internet",67,28,NA,NA,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25941","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"20","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:49:26Z",425,"Likely Voters","Internet",48,31,NA,NA,NA,21,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25694","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1
"21","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:41:54Z",722,"Registered Voters","Internet",46,35,NA,NA,NA,19,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25392","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"22","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T14:41:54Z",722,"Registered Voters","Internet",34,27,NA,23,5,11,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25392","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"23","PPP (D)","2016-08-19","2016-08-21","2016-08-23T16:19:14Z",1018,"Likely Voters","IVR/Online",39,24,9,12,3,14,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25239","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_UT_82316.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Constitution Party candidate Darrell Castle, Libertarian Gary Johnson, Green Party candidate Jill Stein, and independent Evan McMullin. If the election was today, who would you vote for?",1
"24","PPP (D)","2016-08-19","2016-08-21","2016-08-23T16:19:14Z",1018,"Likely Voters","IVR/Online",53,33,NA,NA,NA,14,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25239","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_UT_82316.pdf","Pollster","Dem","If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?",2
"25","Dan Jones & Associates/UtahPolicy.com","2016-07-18","2016-08-04","2016-08-08T15:31:41Z",858,"Likely Voters","Live Phone/Online",37,25,NA,16,15,7,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-associates-utahpolicy-com-25086","http://utahpolicy.com/index.php/features/today-at-utah-policy/10413-","Nonpartisan","None","If the 2016 general election for president were held today and the candidates were the following, for whom would you likely vote?",1
"26","Dan Jones & Associates/UtahPolicy.com","2016-06-08","2016-06-17","2016-06-21T14:17:09Z",614,"Registered Voters","Live Phone/Online",36,27,NA,10,20,8,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-associates-utahpolicy-com-24725","http://utahpolicy.com/index.php/features/today-at-utah-policy/9909-","Nonpartisan","None","",1
"27","SurveyUSA/Salt Lake Tribune/Hinckley Institute","2016-06-02","2016-06-08","2016-06-13T17:20:41Z",1238,"Likely Voters","IVR/Online",35,35,NA,13,NA,17,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-salt-lake-tribune-hinckley-institute-24658","http://www.surveyusa.com/client/PollReport.aspx?g=58873557-0aca-4b92-9be8-a4982b0a744d","Nonpartisan","None","",1
"28","Gravis Marketing","2016-05-31","2016-06-01","2016-06-06T18:37:34Z",1519,"Registered Voters","Automated Phone",36,29,NA,NA,35,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-24624","http://gravismarketing.com/polling-and-market-research/current-utah-polling/","Nonpartisan","None","",1
"29","Gravis Marketing","2016-05-31","2016-06-01","2016-06-06T18:37:34Z",1519,"Registered Voters","Automated Phone",29,26,NA,16,29,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-24624","http://gravismarketing.com/polling-and-market-research/current-utah-polling/","Nonpartisan","None","",2
"30","Dan Jones & Associates/UtahPolicy.com","2016-05-02","2016-05-10","2016-05-16T14:05:31Z",588,"Registered Voters","Live Phone/Online",43,30,NA,NA,NA,26,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-associates-utahpolicy-com-24491","http://utahpolicy.com/index.php/features/today-at-utah-policy/9518-","Nonpartisan","None","",1
"31","Dan Jones & Associates/UtahPolicy.com","2016-03-23","2016-04-05","2016-04-18T15:18:56Z",600,"Registered Voters","Live Phone/Online",38,38,NA,NA,NA,25,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-associates-utahpolicy-com-24297","http://utahpolicy.com/index.php/features/today-at-utah-policy/9193-","Nonpartisan","None","",1
"32","Dan Jones & Associates/Deseret News/KSL","2016-03-08","2016-03-15","2016-06-02T21:20:09Z",500,"Likely Voters","Live Phone/Online",36,38,NA,NA,NA,24,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-associates-deseret-news-ksl-24602","http://www.deseretnews.com/article/865650513/Poll-Utah-would-vote-for-a-Democrat-for-president-over-Trump.html","Nonpartisan","None","",1
"33","Dan Jones & Associates/UtahPolicy.com","2015-12-08","2015-12-14","2016-01-14T21:29:10Z",622,"Adults","Live Phone/Online",33,28,NA,NA,33,6,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-associates-utahpolicy-com-23503","http://utahpolicy.com/index.php/features/today-at-utah-policy/8214-","Nonpartisan","None","",1
"34","Dan Jones & Associates/UtahPolicy.com","2015-08-07","2015-08-14","2015-09-01T21:43:52Z",500,"Adults","Live Phone/Online",38,29,NA,NA,29,3,"http://elections.huffingtonpost.com/pollster/polls/dan-jones-associates-utahpolicy-com-22646","http://utahpolicy.com/index.php/features/today-at-utah-policy/6850-","Nonpartisan","None","",1
